"R0_seir","R0-sir","var_seir","var_sir"
2,2.02538917137722,5.87341257650181e-10,6.82576479640097e-10
2,2.02506383692449,5.86659302247212e-10,6.80451617066363e-10
2,2.02472976720046,5.85994850808622e-10,6.78344540139384e-10
2,2.02441239294146,5.85347237158246e-10,6.76321279559363e-10
2,2.02412301479183,5.84715828521455e-10,6.74393164262452e-10
2,2.02383343434156,5.84100023460472e-10,6.72496240886127e-10
2,2.02350875862059,5.83499249954087e-10,6.7056561514152e-10
2,2.02325330340469,5.82912963622253e-10,6.68812884823088e-10
2,2.02295940482281,5.82340646076122e-10,6.67016401323141e-10
2,2.02270768120386,5.81781803384382e-10,6.65341410123924e-10
2,2.02242319612791,5.81235964646736e-10,6.63628646952886e-10
2,2.02217159222905,5.80702680667159e-10,6.62011505150948e-10
2,2.02192429534921,5.80181522717602e-10,6.60432294195251e-10
2,2.02167773609051,5.79672081384346e-10,6.58881501466125e-10
2,2.02144243619374,5.7917396549195e-10,6.57380665593981e-10
2,2.021205184384,5.78686801099393e-10,6.55899037780287e-10
2,2.02095651760199,5.78210230559257e-10,6.54416097453367e-10
2,2.02073126606871,5.7774391164215e-10,6.53013993310456e-10
2,2.02049998804755,5.77287516711252e-10,6.51614954684126e-10
2,2.02030053096377,5.76840731954692e-10,6.50302590414034e-10
2,2.02010129456512,5.7640325666388e-10,6.49017007972031e-10
2,2.01986955872932,5.75974802553318e-10,6.47680643681071e-10
2,2.01969272668174,5.75555093129928e-10,6.46475981342932e-10
2,2.0194781233179,5.75143863092014e-10,6.4521912191873e-10
2,2.01929487795607,5.7474085777028e-10,6.44040108470683e-10
2,2.01910677803558,5.74345832600634e-10,6.42874704921417e-10
2,2.01890720271283,5.73958552625703e-10,6.4169779889611e-10
2,2.01874825275665,5.73578792030262e-10,6.40618867440758e-10
2,2.0185568268939,5.73206333697973e-10,6.39494215993086e-10
2,2.01836558147717,5.72840968797993e-10,6.38384230334758e-10
2,2.01818992765265,5.72482496393134e-10,6.3732592528539e-10
2,2.01800451984578,5.72130723069718e-10,6.36260660931362e-10
2,2.01786086581824,5.71785462588781e-10,6.35288382738616e-10
2,2.01769009014021,5.71446535556496e-10,6.34276246869447e-10
2,2.01753292586662,5.71113769111187e-10,6.33307319718801e-10
2,2.01736107471894,5.70786996631482e-10,6.32322753962766e-10
2,2.01721836782586,5.70466057452917e-10,6.3140548881722e-10
2,2.01707686827508,5.70150796608195e-10,6.30508878454072e-10
2,2.01692656571385,5.69841064573419e-10,6.29599615713877e-10
2,2.01678026316697,5.69536717033249e-10,6.28717596549966e-10
2,2.01663777359573,5.69237614655133e-10,6.27851428066445e-10
2,2.01650158297675,5.68943622875245e-10,6.27006001231522e-10
2,2.01634210540652,5.68654611697228e-10,6.26130370525351e-10
2,2.01621470653063,5.68370455500258e-10,6.25323782568375e-10
2,2.01609160314393,5.68091032855008e-10,6.2453958200235e-10
2,2.01594325132979,5.67816226350495e-10,6.23709648414083e-10
2,2.01580020413847,5.67545922430415e-10,6.22908884376937e-10
2,2.01567928429966,5.67280011235215e-10,6.22155298675326e-10
2,2.01555544755075,5.67018386452145e-10,6.21406990652077e-10
2,2.01543257438852,5.66760945174384e-10,6.20668135934189e-10
2,2.01530872632769,5.66507587765355e-10,6.1993415346004e-10
2,2.01519018293135,5.66258217729524e-10,6.19224355935197e-10
2,2.01506705139595,5.66012741589449e-10,6.18511176584747e-10
2,2.01495573907,5.65771068769689e-10,6.17827589293207e-10
2,2.01485689398621,5.65533111482662e-10,6.17175174685992e-10
2,2.01473361902258,5.65298784624727e-10,6.16486601419885e-10
2,2.01461697285443,5.6506800567293e-10,6.15815342640753e-10
2,2.01451189001107,5.64840694588811e-10,6.15174859092295e-10
2,2.0144025143678,5.64616773723917e-10,6.145360575957e-10
2,2.01430292249054,5.64396167733122e-10,6.13919474914749e-10
2,2.01419965891117,5.64178803487858e-10,6.1330719617331e-10
2,2.01408380242812,5.639646099978e-10,6.12672176831158e-10
2,2.01399233799722,5.63753518330568e-10,6.12090921006288e-10
2,2.01388604675976,5.63545461539009e-10,6.11486941918031e-10
2,2.01377242064704,5.63340374589416e-10,6.10878474620556e-10
2,2.01368689218986,5.63138194296003e-10,6.10330136699503e-10
2,2.01359787173544,5.62938859251096e-10,6.09777825111965e-10
2,2.01348557798008,5.62742309768597e-10,6.09191322443782e-10
2,2.01339435197875,5.62548487819121e-10,6.08644984449101e-10
2,2.01331929388328,5.62357336976158e-10,6.08138210996969e-10
2,2.01321012238617,5.62168802359128e-10,6.07571736246789e-10
2,2.01312515817114,5.61982830582718e-10,6.07056963625814e-10
2,2.01305260158948,5.61799369703586e-10,6.06566878938581e-10
2,2.01295882092043,5.61618369174554e-10,6.06048266244699e-10
2,2.01286632578589,5.61439779796917e-10,6.05535929530625e-10
2,2.01278622841908,5.61263553674901e-10,6.05047464570043e-10
2,2.01270116405862,5.61089644174662e-10,6.04558460928387e-10
2,2.01262050097951,5.6091800588139e-10,6.0407567573057e-10
2,2.01253433000695,5.60748594561153e-10,6.03592972224593e-10
2,2.01244799724446,5.60581367120824e-10,6.03117154972962e-10
2,2.01237253287624,5.60416281572894e-10,6.02664101091393e-10
2,2.01228898000826,5.60253297000732e-10,6.02198144426905e-10
2,2.01222444853208,5.60092373522766e-10,6.01771107695819e-10
2,2.01213575542706,5.5993347226197e-10,6.01306928655338e-10
2,2.01206244972727,5.59776555312515e-10,6.0086988478749e-10
2,2.01199183693824,5.59621585711436e-10,6.00445987512901e-10
2,2.01191716412389,5.59468527408825e-10,6.00019230311239e-10
2,2.01184620999252,5.59317345237991e-10,5.99602042345146e-10
2,2.01176906532633,5.59168004891941e-10,5.9917328624249e-10
2,2.01169875422509,5.59020472895044e-10,5.98767316088124e-10
2,2.0116185462186,5.58874716577922e-10,5.98341400269098e-10
2,2.01156301304962,5.58730704054687e-10,5.97967748798958e-10
2,2.01149652349456,5.58588404197384e-10,5.97576791343488e-10
2,2.01141358949775,5.58447786616523e-10,5.97158395841411e-10
